,class_4FGL,Flux1000,PL_Index,LP_Index,LP_SigCurv,PLEC_ExpfactorS,PLEC_Flux_Density,Frac_Variability
1898,bcu-bll-fsrq-agn,9.861515e-11,2.2283802,2.1777108,1.5529966,0.20345387,3.699932e-14,0.0
1899,Soft,3.5745653999999997e-10,2.452696,2.4144818999999997,1.7202677,0.13758929999999997,2.096011e-13,0.0
1900,Soft,1.3380517e-09,2.2730193,2.1287048,5.56925,0.13650295,2.4183912e-12,0.7913452
1901,bcu-bll-fsrq-agn,2.0259841e-10,1.8416556,1.8375418000000001,0.16992797,0.0037214497999999998,9.929005e-15,0.558122
1902,Soft,6.052222600000001e-11,2.8566794,2.8997865000000003,4.513351999999999,1.5830739,4.181267e-12,0.6973057
1903,bcu-bll-fsrq-agn,3.8676613e-09,1.8806381999999997,1.8324074000000001,2.4874337000000004,0.01539836,1.959552e-12,0.4027235
1904,bcu-bll-fsrq-agn,7.8463055e-11,1.8312167000000001,1.8320321,0.32855982,-0.0082586855,9.929077000000002e-16,0.62018985
1906,Soft,2.0263086e-10,2.4676172999999997,2.451977,0.7814171999999999,0.11848312,9.242080999999999e-14,0.0
1907,bcu-bll-fsrq-agn,2.5161597e-09,1.9339828000000001,1.815882,5.030947,0.05711456,8.544836999999999e-13,0.1067836
1909,bcu-bll-fsrq-agn,3.8645879999999996e-09,2.0945237,2.020257,7.442972999999999,0.08111442599999999,2.7801695e-12,0.49892974
1910,bcu-bll-fsrq-agn,9.006410999999999e-11,2.658939,2.7839334,1.7508379,0.6091747,1.1730578e-13,0.0
1911,bcu-bll-fsrq-agn,4.726622e-10,1.8818071,1.917648,0.92893183,-0.003943514,2.7437557000000005e-14,0.0
1912,Soft,1.0367496e-10,2.5443187000000003,2.4714577,1.328323,0.22731371,2.4519373e-13,0.23371562
1913,bcu-bll-fsrq-agn,1.2861875e-10,2.5854337000000003,2.5824312999999997,0.060048185,0.020873468,3.1846054e-13,0.71685565
1914,bcu-bll-fsrq-agn,1.6421671e-10,2.0624444,2.0599144,0.105643444,0.0019188610999999998,1.7709465e-14,0.67595565
1915,bcu-bll-fsrq-agn,2.3165095e-10,2.065998,2.1271415,1.0534421,-0.009049033,1.7730557999999998e-14,0.35145998
1916,bcu-bll-fsrq-agn,1.9204073e-10,2.2448813999999997,2.2505727,0.14717443,0.0414466,5.1079068e-14,0.37190628
1917,Soft,3.1718045e-10,2.5447662,2.528946,2.6469138,0.79697156,3.4000762e-13,0.09864394
1918,bcu-bll-fsrq-agn,1.8519722e-10,1.7857491,1.5495591999999998,2.2466347,0.47780195,1.4987162e-14,0.32210700000000003
1919,Soft,1.5224445e-10,2.5899796000000004,2.6401787,0.585216,0.0029959179999999998,1.654866e-13,0.0
1920,bcu-bll-fsrq-agn,1.2001291e-09,2.0687227,1.9925230999999999,2.3070037,0.047346365,5.4994643e-13,0.43458173
1921,bcu-bll-fsrq-agn,4.9707148e-11,1.7643849999999999,1.7246709999999998,1.5249951000000002,0.21092063,1.2885408e-15,0.0
1922,bcu-bll-fsrq-agn,1.7705527e-10,1.9467348000000002,1.901866,1.2238833999999998,0.098156884,9.483302e-15,0.0
1923,Soft,1.7794848999999998e-10,2.353079,2.2639415,1.7957020000000001,0.30374837,8.767732e-14,0.61255383
1924,Soft,1.7406305e-09,2.2187836,2.1772572999999995,2.83652,0.03189155,2.342387e-12,0.32658434
1926,Soft,1.4155932e-10,2.321799,2.2952013,0.97337574,0.09090615,6.611171e-14,0.0
1927,bcu-bll-fsrq-agn,1.5227311e-10,2.126585,2.109588,1.5997896999999999,0.1504675,2.3766313e-14,0.28699556
1928,Soft,1.6600193e-10,2.7138655,2.9190917,2.539202,0.56695956,5.596936e-13,0.0
1929,bcu-bll-fsrq-agn,2.038354e-10,2.0394813999999997,1.9903453999999998,0.92359483,0.04597531,2.4987752999999997e-14,0.09915608
1930,bcu-bll-fsrq-agn,1.2311124e-09,2.0503318,1.9453449,3.6494089999999995,0.050776232000000004,7.95812e-13,0.26786536
1931,bcu-bll-fsrq-agn,1.661713e-09,1.849193,1.7417580000000001,3.1750042,0.04856791,3.7813744e-13,0.49739218
1932,bcu-bll-fsrq-agn,1.1804845e-10,2.1922786,1.9178564999999999,2.2757007999999996,2.3056419999999997,1.8776642e-14,0.1417615
1933,Soft,6.299035e-10,2.5067613,2.5657362999999997,2.7694058,0.20341092,6.46469e-13,0.9245704
1934,bcu-bll-fsrq-agn,3.4305617e-10,1.9209912,1.7458151999999998,2.905072,0.15391517,5.4739802e-14,0.0
1935,bcu-bll-fsrq-agn,1.00679284e-10,1.7285128,1.7211413,0.5219679,0.0072350934999999995,2.3623607e-15,0.0
1936,Soft,1.857333e-10,2.8020685000000003,2.8077204,3.5895758,1.1378536,2.1995674e-12,0.4766942
1937,bcu-bll-fsrq-agn,2.2051141000000002e-10,2.0983424,2.0524942999999998,1.3416282,0.18381508,2.1802035000000002e-14,0.0
1938,bcu-bll-fsrq-agn,1.6083762e-09,2.0818644,1.9215296999999998,5.036869,0.11905216,9.533790000000002e-13,0.18340579
1939,Soft,5.820044e-09,2.1023672,1.9942962,9.507648,0.06445969,1.0049429e-11,0.2555931
1940,bcu-bll-fsrq-agn,2.4268793e-10,2.1084878,2.052988,1.439329,0.092755936,3.743489e-14,0.60140985
1941,bcu-bll-fsrq-agn,1.2156212e-10,2.145721,2.1111598,1.0371763,0.11451731,1.807101e-14,0.87623495
1942,Soft,1.2588192e-10,2.2675223,2.3029610000000003,1.3736146999999999,0.26945096,1.8876316e-14,0.37076312
1943,bcu-bll-fsrq-agn,2.959774e-10,2.1227365000000002,1.9802404999999998,2.6314154,0.28540298,8.631444e-14,0.0
1944,bcu-bll-fsrq-agn,2.0618438e-10,1.7945331000000002,1.695803,1.1275553999999999,0.122248136,7.492958e-15,0.0
1945,bcu-bll-fsrq-agn,1.3598793e-10,2.046688,1.9057456000000002,1.2007058000000002,0.06616405,1.1841183999999998e-14,0.20122556
1946,Soft,3.360264e-10,2.6551668999999998,2.6937177000000005,2.9085349999999996,0.72405845,1.3988775e-12,0.0
1947,bcu-bll-fsrq-agn,1.0097865600000001e-10,1.6518283,1.5906721000000001,1.3092899,0.1666675,1.058178e-15,0.0
1948,Soft,3.6935074e-10,2.202425,2.1757958,1.2691351,0.040538907,1.4347834e-13,0.28789854
1949,Soft,1.8054706000000002e-10,2.7178516,2.441416,2.3734276000000003,0.5499752,9.55896e-13,0.746071
1950,bcu-bll-fsrq-agn,2.4518193e-10,2.1176642999999995,2.126591,0.22955136,0.009328498000000001,3.8177272e-14,0.28325257
1951,Soft,2.5726307000000003e-10,2.3397634,2.3342686,0.7179978,0.041914254,1.4039886e-13,0.0
1953,bcu-bll-fsrq-agn,1.5573658e-10,2.3776956,2.382843,0.28830284,-0.0022257585,1.0425914e-13,0.80485326
1954,Soft,2.3026354e-10,2.3549623,2.3357575,4.401862,1.9394209,3.22181e-13,0.0
1955,SNR,9.056771e-09,2.0597675,1.925454,8.109910000000001,0.08272873,2.2484506e-12,0.0
1956,bcu-bll-fsrq-agn,1.2155962e-10,2.2013397,2.226892,1.252761,0.1876211,1.8030972e-14,0.0
1958,bcu-bll-fsrq-agn,7.3723534e-11,1.8399366999999998,1.5880362,0.53624326,0.20704363,2.23804e-15,0.0
1959,bcu-bll-fsrq-agn,1.4756901e-10,1.8264962,1.749666,0.8342376,0.048022922,3.621194000000001e-15,0.3393673
1960,bcu-bll-fsrq-agn,2.3464383e-10,2.4642367000000003,2.4857988,0.59246075,0.0022941604,1.5926987e-13,1.0231643
1961,Soft,2.8877752999999997e-10,2.3753297000000004,2.329883,1.645546,0.07623797,3.3052627000000003e-13,0.27796346
1962,Soft,3.8467066e-10,2.8937047000000002,2.9058495,1.6546575000000001,0.11976139,2.5446743e-12,0.38273454
1964,bcu-bll-fsrq-agn,5.157471e-10,2.480364,2.469712,0.5985973000000001,0.025635917,8.376784499999999e-13,0.96936166
1965,Soft,1.1319282e-10,2.5974202,2.4365146,1.8119783,0.47267357,5.0997813e-13,0.31376714
1966,bcu-bll-fsrq-agn,5.059657e-10,2.599026,2.5853040000000003,1.0347562,0.028844774,2.9962063999999998e-12,0.49123409999999995
1967,Soft,6.316652e-10,2.4222484,2.3290567,3.0037857999999997,0.12208255400000001,1.8098558999999998e-12,0.26592824
1968,Soft,2.683881e-10,2.7868527999999997,2.8966339,3.2658259999999997,0.86989605,1.4773124e-12,0.0
1969,Soft,6.819964e-10,2.1696715,2.1436007000000004,0.9294061,0.03131633,3.4379644e-13,0.0
1970,Soft,7.247363e-10,2.619153,2.5208206000000004,5.1154623,0.30561417,3.9806084e-12,0.52843785
1971,bcu-bll-fsrq-agn,5.2162616e-09,1.9944009999999999,1.9038004000000002,6.049441000000001,0.043646462000000004,4.470416e-12,0.38992685
1972,Soft,1.7389819e-10,2.4083347,2.3735197,1.3366158000000001,0.18425897,1.8851476e-13,0.5494720999999999
1974,bcu-bll-fsrq-agn,3.8399078e-10,1.7737168,1.7393682000000001,0.8315894,0.04773949,1.29493355e-14,0.32583317
1975,bcu-bll-fsrq-agn,3.7037032e-10,1.782507,1.5674925,3.2837087999999994,0.16616541,3.2775052e-14,0.34190488
1978,Soft,4.2996805999999996e-10,2.7850876,2.7687762000000005,3.962935,0.82119316,2.9695408e-12,0.9092650999999999
1979,bcu-bll-fsrq-agn,1.405519e-10,2.2500792,2.2815745,0.6476868,0.0009986144,2.7709724e-14,0.23258214
1981,bcu-bll-fsrq-agn,1.3371977e-10,1.8610026999999998,1.7988826,1.1487266999999999,0.1285696,6.3852003000000004e-15,0.0
1982,bcu-bll-fsrq-agn,8.037238000000001e-11,1.8018151999999998,1.7270771,0.93093187,0.14092247,2.0609747e-15,0.0
1984,Soft,2.2911107999999997e-10,2.400896,2.8984435,3.6907592000000005,1.5790641,2.7076838e-13,0.58594733
1985,Soft,2.2395442000000003e-10,2.2578566,2.2316312999999997,0.43986374,0.020939425,6.526369e-14,0.26189375
1986,bcu-bll-fsrq-agn,3.0548347e-10,2.0814521,1.9951811000000002,2.1085342999999996,0.1155586,7.3225646e-14,0.31977364
1987,Soft,1.3024107e-10,2.7886562,2.6419268,2.560457,0.33255404,3.5130937000000004e-12,0.0
1988,Soft,2.387888e-10,2.1243465,2.1067593,0.6125845999999999,0.022079322000000002,5.743135499999999e-14,0.1875079
1989,bcu-bll-fsrq-agn,1.5232746e-10,2.3570497,2.3611392999999996,0.086185016,0.038111188,6.397873e-14,0.57529145
1990,bcu-bll-fsrq-agn,6.593421e-10,1.9920436000000001,1.8689326000000002,2.7121183999999996,0.09442278,2.0710315999999998e-13,0.24361834
1991,bcu-bll-fsrq-agn,1.3359709e-10,1.9631815,1.9490121999999999,0.06787911,0.017112557,9.008759499999999e-15,0.0
1992,Soft,5.443243e-10,2.5897827,2.504063,3.5024238,0.18325263,2.0949319999999998e-12,0.17830634
1993,bcu-bll-fsrq-agn,1.310863e-10,1.7400688000000002,1.7337339,0.0,0.0063918657,2.4960672e-15,0.0
1994,Soft,2.6036032e-10,2.6209164,2.5749470000000003,3.7973223,1.7327229,4.753865e-13,0.0
1995,bcu-bll-fsrq-agn,1.5450034e-10,1.884443,1.8125073,0.78096116,0.09626296,8.267975e-15,0.52217263
1996,Soft,2.3914095e-09,2.4763367,2.3940935000000003,2.7653548999999997,0.22566742,2.1488311e-13,0.0
1997,Soft,1.2653782e-09,2.4917979999999997,2.3727007,7.022689,0.23616505,7.1895823e-12,1.7525561
1998,Soft,1.7974629e-10,2.4978203999999997,2.4392762,1.3059889,0.16700628,3.7825704999999996e-13,0.6617192
1999,bcu-bll-fsrq-agn,2.1921649e-10,1.9599363,1.8940326,1.4932041999999999,0.13818227,1.8359134e-14,0.52508503
2000,Soft,3.2379457e-09,2.2649548,2.1658266,6.796142999999999,0.07539908599999999,1.3336226e-11,0.4761032
2002,Soft,1.1831335e-10,2.3306985,2.272957,1.1391603000000001,0.13952327,6.109194e-14,0.0
2003,Soft,4.5641785e-10,2.31291,2.283666,1.0892861999999999,0.046394303,5.108841e-13,0.5732038
2004,bcu-bll-fsrq-agn,8.0345966e-11,1.7967836,1.7259631999999998,0.9591133,0.09874646,2.9076503999999998e-15,0.0
2006,bcu-bll-fsrq-agn,3.481272e-10,2.1589650000000002,1.7605442,4.268488,0.80973864,1.746978e-13,0.4122751
2007,Soft,8.349535e-10,2.6773968,2.8097746,1.286884,0.18036336,7.691141e-14,0.32825384
2008,Soft,5.017259e-10,2.4167426,2.3195775000000003,2.230286,0.10862464,1.7134248e-12,0.33871204
2009,Soft,1.5764874e-08,2.1848686,2.1760813999999997,1.3829122,-0.011693354,3.6557056e-13,0.0
2010,Soft,3.047998e-10,2.2945395,2.2428005,1.0365298,0.06620481,2.6640487e-13,0.3509065
2011,Soft,5.6690826e-11,2.966576,2.9242767999999995,1.3774471000000001,0.78265977,3.715556e-12,0.0
2012,Soft,1.7329483999999998e-10,2.5800287999999996,2.5477133,4.3085303,3.3644502,9.297934000000002e-13,0.15861553
2013,psr,1.3331396999999998e-06,2.2405044999999997,2.3586605,239.43639,0.571928,4.4215248e-10,0.0
2014,Soft,1.7840375e-10,2.194486,2.1825442,0.73345584,0.02646234,4.708221e-14,0.50627786
2015,Soft,1.2732682e-10,2.4325798,2.4269986,1.3294153999999998,0.17500326,1.6446187e-13,0.50269395
2016,bcu-bll-fsrq-agn,1.04953365e-10,1.9487505,2.0037582,0.7797655,-0.010360729,3.070154e-15,0.0
2017,bcu-bll-fsrq-agn,6.4572556e-11,1.7136444,1.2446566000000001,1.1574198,0.28933555,1.2620887e-15,0.20353526
2018,Soft,1.6723532e-10,2.6016605,2.6478669999999997,0.91327703,0.079083465,2.0124854e-13,0.0
2019,bcu-bll-fsrq-agn,2.2219532999999997e-10,2.6794700000000002,2.6736035,0.18892437,0.026032793999999998,1.7508523e-12,0.41271990000000003
